#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.0562877207903299,0.0005212231636843173,0.000577245043579741,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,17.7658641344703,0.1803440284565987,0.16604915682081156,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.01544915450148599,0.00017514513391924183,0.00020509747955400372,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),12.277794588184214,0.3025988172868601,0.30583478895903404,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{jup}}$),1.0953533495062069,0.026996104690557354,0.027284799242706992,derived
Semi-major axis b; $a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),7.280694415771367,0.18976117069215448,0.18938448834755572,derived
Semi-major axis b; $a_\mathrm{b}$ (AU),0.03385863101761474,0.0008824781117057132,0.0008807263627943762,derived
Inclination b; $i_\mathrm{b}$ (deg),89.49660110365326,0.17764091228968937,0.23440715955767644,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.15620958906167573,0.07201783431748171,0.05300896868410532,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),1.8007792700285539,0.009586982685177547,0.009730194745680487,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),1.007644080573228,0.011523103293072379,0.009544186570612068,derived
Epoch occultation b; $T_\mathrm{0;occ;b}$,2459402.9337954787,0.00037194322794675827,0.0003543584607541561,derived
Impact parameter occultation b; $b_\mathrm{occ;b}$,0.15620958906167573,0.07201783431748171,0.05300896868410532,derived
Equilibrium temperature b; $T_\mathrm{eq;b}$ (K),518.7584289789139,24.029709382201872,24.340707921066382,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; muscat3_gp}$ (ppt),89.49451331524949,0.7542721725001229,0.5836346474635832,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; muscat3_gp}$ (ppt),89.49451331524949,0.7542721725001229,0.5836346474635832,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; muscat3_gp}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; muscat3_gp}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; muscat3_rp}$ (ppt),88.47816031519218,0.6461722017182581,0.6504668899302004,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; muscat3_rp}$ (ppt),88.47816031519218,0.6461722017182581,0.6504668899302004,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; muscat3_rp}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; muscat3_rp}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; lco1m_gp}$ (ppt),89.46161332552094,0.6410145233330979,0.6483625721171933,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; lco1m_gp}$ (ppt),89.46161332552094,0.6410145233330979,0.6483625721171933,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; lco1m_gp}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; lco1m_gp}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; lco1m_V}$ (ppt),94.14602123831095,0.719713662867278,0.6109264884133268,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; lco1m_V}$ (ppt),94.14602123831095,0.719713662867278,0.6109264884133268,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; lco1m_V}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; lco1m_V}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; muscat3_ip}$ (ppt),87.08579545285278,0.6581098092942597,0.613997898743051,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; muscat3_ip}$ (ppt),87.08579545285278,0.6581098092942597,0.613997898743051,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; muscat3_ip}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; muscat3_ip}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; keplercam_ip}$ (ppt),75.42585017845094,0.5926554988863302,0.6007698155301426,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; keplercam_ip}$ (ppt),75.42585017845094,0.5926554988863302,0.6007698155301426,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; muscat3_zs}$ (ppt),86.09687199879679,0.6086578756652159,0.6500610861331921,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; muscat3_zs}$ (ppt),86.09687199879679,0.6086578756652159,0.6500610861331921,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; muscat3_zs}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; muscat3_zs}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; lco0.4m_zs_2}$ (ppt),86.07231718621856,0.6057522172883125,0.6395667472537383,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; lco0.4m_zs_2}$ (ppt),86.07231718621856,0.6057522172883125,0.6395667472537383,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; lco0.4m_zs_2}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; lco0.4m_zs_2}$ (ppt),0.0,0.0,0.0,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; tess}$ (ppt),85.9987833831456,0.5995996488984474,0.5687595970562711,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; tess}$ (ppt),85.9987833831456,0.5995996488984474,0.5687595970562711,derived
Occultation depth (undil.) b; $\delta_\mathrm{occ; undil; b; tess}$ (ppt),0.0,0.0,0.0,derived
Occultation depth (dil.) b; $\delta_\mathrm{occ; dil; b; tess}$ (ppt),0.0,0.0,0.0,derived
