#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3677.9427	53.5126	83.0643	3594.8784	3731.4553
logg	4.0581	0.4991	0.5338	3.5242	4.5572
[Fe/H]	0.2634	0.1647	0.1673	0.0961	0.4280
dist	163.1435	1.5881	0.4367	162.7068	164.7317
rad	0.5144	0.0231	0.0200	0.4944	0.5375
Av	0.0065	0.0059	0.0038	0.0027	0.0124
grav_mass	0.0701	0.1493	0.0467	0.0235	0.2195
lum	0.0433	0.0047	0.0047	0.0386	0.0480
AD	0.0293	0.0013	0.0012	0.0281	0.0306
age	0.3989	2.0243	0.3599	0.0391	2.4232
iso_mass	0.5440	0.0103	0.0167	0.5274	0.5543
eep	193.4187	113.2044	7.6836	185.7352	306.6231
BP_noise	0.0174	0.0162	0.0116	0.0058	0.0336
G_noise	0.0037	0.0030	0.0018	0.0019	0.0067
RP_noise	0.0259	0.0102	0.0111	0.0148	0.0361
J_noise	0.1015	0.1712	0.0984	0.0031	0.2728
H_noise	0.1372	0.1404	0.0877	0.0495	0.2775
W1_noise	0.1767	0.1316	0.1735	0.0032	0.3083
W2_noise	0.1755	0.2190	0.1809	-0.0055	0.3945
