#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3270.2837	32.3760	66.6945	3203.5892	3302.6596
logg	5.6140	0.3709	0.8884	4.7255	5.9849
[Fe/H]	0.1401	0.2269	0.3756	-0.2355	0.3671
dist	167.9808	2.0550	2.0877	165.8931	170.0359
rad	0.4586	0.0259	0.0187	0.4399	0.4845
Av	0.0025	0.0053	0.0027	-0.0002	0.0078
grav_mass	0.4803	4.6960	0.4472	0.0331	5.1764
lum	0.0211	0.0029	0.0020	0.0191	0.0241
AD	0.0254	0.0015	0.0011	0.0243	0.0269
age	0.0516	0.0449	0.0000	0.0516	0.0965
iso_mass	0.3305	0.1174	0.0252	0.3054	0.4479
eep	176.8248	117.1865	18.1967	158.6282	294.0114
NUV_noise	1.3866	3.3696	1.4623	-0.0757	4.7562
SDSS_u_noise	0.1487	0.5529	0.1630	-0.0143	0.7015
SDSS_g_noise	0.0197	0.0317	0.0219	-0.0022	0.0514
BP_noise	0.0491	0.0486	0.0347	0.0144	0.0978
SDSS_r_noise	0.0434	0.0583	0.0297	0.0137	0.1017
G_noise	0.0313	0.0277	0.0269	0.0044	0.0590
SDSS_i_noise	0.0293	0.0467	0.0273	0.0020	0.0760
RP_noise	0.0333	0.0409	0.0314	0.0019	0.0742
TESS_noise	0.0696	0.0618	0.0327	0.0369	0.1315
SDSS_z_noise	0.0199	0.0360	0.0224	-0.0025	0.0559
J_noise	0.0726	0.2019	0.0871	-0.0144	0.2745
H_noise	0.0753	0.0902	0.0644	0.0109	0.1655
Ks_noise	0.0434	0.1433	0.0496	-0.0062	0.1867
W1_noise	0.2351	0.2793	0.2356	-0.0005	0.5144
W2_noise	0.2836	0.3229	0.1921	0.0915	0.6064
