#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3284.0541	112.9347	59.1563	3224.8978	3396.9889
logg	4.7802	0.0944	0.0886	4.6916	4.8746
[Fe/H]	0.2567	0.2324	0.5044	-0.2477	0.4892
dist	164.4579	3.1139	1.3397	163.1181	167.5718
rad	0.4330	0.0225	0.0264	0.4066	0.4555
Av	0.0034	0.0091	0.0035	-0.0001	0.0125
grav_mass	0.4057	0.1056	0.0893	0.3164	0.5113
lum	0.0198	0.0035	0.0028	0.0171	0.0233
AD	0.0245	0.0012	0.0017	0.0228	0.0256
age	2.0107	11.0746	1.1209	0.8898	13.0854
iso_mass	0.4229	0.0107	0.0164	0.4065	0.4337
eep	311.9328	6.2227	44.0033	267.9295	318.1554
BP_noise	0.0194	0.0628	0.0228	-0.0034	0.0822
G_noise	0.0080	0.0321	0.0098	-0.0018	0.0400
RP_noise	0.0455	0.0362	0.0240	0.0215	0.0817
J_noise	0.0360	0.1908	0.0590	-0.0230	0.2268
H_noise	0.0589	0.1931	0.0688	-0.0099	0.2520
Ks_noise	0.0334	0.1651	0.0492	-0.0159	0.1985
W1_noise	0.0470	0.2721	0.0731	-0.0261	0.3191
W2_noise	0.0901	0.3111	0.1023	-0.0122	0.4012
