#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3585.2895	55.6365	52.7833	3532.5062	3640.9260
logg	3.8819	0.2567	0.1997	3.6822	4.1386
[Fe/H]	0.3115	0.1317	0.0894	0.2220	0.4431
dist	164.7641	1.1106	0.7933	163.9708	165.8747
rad	0.3624	0.0112	0.0126	0.3497	0.3735
Av	0.0079	0.0026	0.0037	0.0042	0.0106
grav_mass	0.0342	0.0248	0.0136	0.0206	0.0591
lum	0.0194	0.0018	0.0016	0.0178	0.0212
AD	0.0204	0.0007	0.0007	0.0197	0.0211
age	7.4150	5.8503	6.3415	0.1803	13.488531498535673
iso_mas	0.4168	0.0132	0.0130	0.3801	0.45463875467038495
eep	311.3433	7.4605	36.4737	195.7050	319.21835823974425
BP_noise	0.0746	0.0368	0.0195	0.0552	0.1115
G_noise	0.0235	0.0144	0.0103	0.0132	0.0380
RP_noise	0.0461	0.0214	0.0115	0.0347	0.0675
J_noise	0.1237	0.1368	0.0606	0.0631	0.2605
H_noise	0.1878	0.0917	0.0707	0.1171	0.2795
Ks_noise	0.0631	0.0487	0.0318	0.0313	0.1118
W1_noise	0.1799	0.1539	0.0824	0.0975	0.3338
W2_noise	0.1222	0.0969	0.0545	0.0677	0.2191
