#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3291.2129	35.2039	37.3162	3253.8967	3326.4168
logg	5.1036	0.6167	0.8724	4.2312	5.7203
[Fe/H]	-0.0790	0.1985	0.2113	-0.2903	0.1194
dist	168.0673	4.0116	3.3522	164.7151	172.0789
rad	0.4451	0.0148	0.0184	0.4267	0.4600
Av	0.0082	0.0027	0.0041	0.0041	0.0109
grav_mass	0.2933	1.5440	0.2636	0.0297	1.8373
lum	0.0207	0.0020	0.0017	0.0190	0.0226
AD	0.0244	0.0012	0.0010	0.0235	0.0256
age	8.2165	5.1378	7.4363	0.0590	13.48947889854297
iso_mas	0.4195	0.0201	0.0191	0.2260	0.46063623809638754
eep	310.6739	9.0295	38.6979	127.5038	319.703432106854
BP_noise	0.0542	0.0341	0.0246	0.0296	0.0883
G_noise	0.0238	0.0174	0.0125	0.0113	0.0412
RP_noise	0.0383	0.0214	0.0143	0.0241	0.0597
J_noise	0.1567	0.1199	0.0946	0.0620	0.2765
H_noise	0.1723	0.1201	0.1033	0.0690	0.2924
Ks_noise	0.1197	0.1210	0.0886	0.0311	0.2406
W1_noise	0.0870	0.2259	0.0649	0.0221	0.3129
W2_noise	0.2403	0.1882	0.1655	0.0748	0.4285
