#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3269.2216	32.1155	63.0191	3206.2026	3301.3371
logg	5.6430	0.3331	0.8831	4.7599	5.9761
[Fe/H]	0.1219	0.2430	0.3395	-0.2176	0.3649
dist	167.7492	2.1935	1.7096	166.0396	169.9427
rad	0.4586	0.0242	0.0182	0.4405	0.4828
Av	0.0025	0.0050	0.0025	0.0000	0.0075
grav_mass	0.4837	4.6853	0.4462	0.0375	5.1690
lum	0.0212	0.0028	0.0020	0.0192	0.0240
AD	0.0254	0.0014	0.0011	0.0243	0.0268
age	0.0516	0.0449	0.0000	0.0067	13.384854396572686
iso_mas	0.3305	0.1174	0.0252	0.1077	0.46470758693853004
eep	176.8248	117.1865	18.1967	100.3988	318.0309507939029
NUV_noise	1.3595	3.3163	1.3536	0.0058	4.6758
SDSS_u_noise	0.1875	0.4925	0.1868	0.0007	0.6800
SDSS_g_noise	0.0183	0.0323	0.0183	0.0000	0.0506
BP_noise	0.0490	0.0478	0.0341	0.0149	0.0968
SDSS_r_noise	0.0381	0.0612	0.0227	0.0155	0.0994
G_noise	0.0310	0.0276	0.0249	0.0062	0.0586
SDSS_i_noise	0.0303	0.0431	0.0269	0.0034	0.0734
RP_noise	0.0380	0.0337	0.0348	0.0032	0.0717
TESS_noise	0.0693	0.0596	0.0307	0.0386	0.1288
SDSS_z_noise	0.0196	0.0349	0.0196	0.0000	0.0545
J_noise	0.0802	0.1832	0.0802	0.0001	0.2634
H_noise	0.0787	0.0821	0.0664	0.0124	0.1608
Ks_noise	0.0439	0.1343	0.0438	0.0001	0.1782
W1_noise	0.2038	0.2897	0.2036	0.0002	0.4935
W2_noise	0.2769	0.3216	0.1754	0.1015	0.5986
