Target = TOI5671
Date_Obs [UT] = 2023-06-08
Telescope = Palomar-5m
Instrument = PHARO
Filter = Hcont
Pixel_Scale [arsec/pix] = 0.025
PSF_FWHM [arcsec] = 0.160422
PI: Ciardi
arcsec, dmag, dmrms
0.000, 0.000, 0.000
0.179, 2.425, 0.296
0.333, 4.189, 0.297
0.488, 5.428, 0.221
0.645, 6.310, 0.176
0.807, 6.850, 0.115
0.966, 7.243, 0.088
1.126, 7.461, 0.091
1.286, 7.524, 0.061
1.446, 7.609, 0.065
1.607, 7.637, 0.084
1.767, 7.677, 0.052
1.927, 7.688, 0.035
2.087, 7.679, 0.066
2.247, 7.706, 0.037
2.408, 7.727, 0.026
2.568, 7.722, 0.029
2.728, 7.738, 0.029
2.889, 7.748, 0.021
3.049, 7.750, 0.037
3.209, 7.764, 0.033
3.370, 7.746, 0.027
3.530, 7.748, 0.027
3.691, 7.750, 0.034
3.851, 7.763, 0.037
4.012, 7.749, 0.037
4.172, 7.745, 0.035
4.333, 7.752, 0.040
4.492, 7.761, 0.042
4.653, 7.758, 0.030
4.813, 7.748, 0.038
4.973, 7.733, 0.036
5.134, 7.755, 0.030
5.294, 7.743, 0.046
5.455, 7.754, 0.037
5.616, 7.740, 0.077
5.776, 7.746, 0.101
5.936, 7.754, 0.153
6.097, 7.743, 0.248
6.257, 7.753, 0.452
6.417, 7.740, 0.734
6.578, 7.746, 1.138
6.738, 7.758, 1.775
6.898, 7.754, 2.765
7.059, 7.718, 2.630
7.219, 7.710, 1.614
7.380, 7.723, 0.997
7.540, 7.702, 0.636
7.701, 7.665, 0.379
7.861, 7.665, 0.246
8.022, 7.644, 0.144
8.182, 7.645, 0.095
8.343, 7.635, 0.074
8.503, 7.624, 0.072
8.663, 7.640, 0.081
8.824, 7.642, 0.082
8.984, 7.655, 0.091
9.144, 7.654, 0.096
9.305, 7.653, 0.090
9.465, 7.651, 0.095
9.625, 7.651, 0.100
9.786, 7.652, 0.103
