BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 flux_star_9 flux_star_10 flux_star_11 flux_star_12 flux_star_13 flux_star_14 flux_star_15 flux_star_16 flux_star_17 flux_star_18 flux_star_19 flux_star_20 flux_star_21 flux_star_22 flux_star_23 flux_star_24 flux_star_25 flux_star_26 flux_star_27 flux_star_28 flux_star_29 flux_star_30 flux_star_31 flux_star_32 flux_star_33 flux_star_34 flux_star_35 flux_star_36 sky airmass xshift yshift sky_entropy
2460075.3860806576 46380.76859245506 1956619.5442715099 370559.70548296836 309976.84655825497 190606.79507688258 41866.44784373668 35378.48067449882 19731.73399117081 15823.228799715464 15799.328543780983 10687.518675900603 8686.177802724138 8486.97258623672 14232.297143234056 4912.8186087876675 4171.443440605479 23258.44574417344 5743.106237506465 6259.768032624255 3271.8864349600044 3170.0562141582777 2389.941404720681 3431.1721349742584 2335.0204835373006 1286.8129940380459 2575.436658659848 2561.4402565401397 12663.551190579354 462.5121126133017 1313.7940972842916 238.10335419140756 7907.034312308853 608.8045277198689 688.0073389071913 782.8489734581963 424.41580471211637 1021.3874934999039 5.063021306198593 1.014 0.0 0.0 6.759988540444225
2460075.386784586 46680.26522928037 1955485.323733196 370379.23895180196 309077.56262311165 188638.0359588308 41917.23183764046 34586.7884321099 19685.374347248537 15446.136213402904 15390.02319745005 10633.384488782584 8973.90004338941 8313.279348479831 13603.426195687105 4829.76917819801 3544.909029745846 24821.764180149825 4642.806985466654 6309.683235502947 2523.9284631539776 2484.894741124328 2340.325133914608 3504.3759952021646 2498.4107711927354 2678.0934065952897 2605.565183132552 2002.0603522480815 16457.594795597106 632.5831793765101 1213.8969908019644 1068.4924729935883 7349.650721347658 159.40582952139084 -16.90323281014571 436.7999729734147 -330.7145521033817 85.61068483476993 5.046176057150699 1.013 0.26555766579489654 -1.9142237503109716 6.82685954603557
2460075.387488531 47551.16060116631 1970664.9065109962 374049.4627294012 311695.77695648995 190238.4113031078 42549.482881709206 34500.174960955934 19697.25872075584 16373.152253980283 15775.940621658578 10725.142692136069 8596.263248495045 8389.809682393272 13898.879655379671 5042.732167827111 4862.252989993605 24839.100867261237 5492.959429086593 6451.384850530769 2267.6301267478557 3463.9455398693826 2602.926346704131 3658.0090887237457 2502.9391769021167 1368.9326457023562 2409.449291116165 2016.0021788424347 18199.1876215011 477.17697267985204 1433.3357169496448 1235.050443429398 7352.346234456272 887.0543774804828 949.9088002922508 139.70844070010935 -253.07478836357768 351.12681698788947 5.0201645452499735 1.013 6.954776539889802 -3.489419304987299 6.850579285574336
2460075.3881924055 48062.95656625324 1981274.2039941268 374413.3722197929 313294.9608350426 190426.73554634262 42314.64580381979 35363.535205495136 19980.286362515864 15363.14759623837 15821.04378506016 10347.817577110618 8637.319761351086 8979.74358656026 14174.093811063984 5266.275850968188 4724.391854749192 26527.67335369684 5069.489341651526 6128.26874639884 2603.3742176969245 3112.649140010064 2159.1231777564244 3473.9045994306216 3116.139858685143 1225.7326345347537 1700.4816725661076 2063.3932835748856 13566.68158054979 210.825705706171 779.5135917501757 1204.880091758736 8094.307552802158 33.338616447523236 1237.933787208749 444.8635702067404 610.1752916333207 1068.8255038531788 5.008942897881202 1.012 3.7225786345474603 -5.176756588637535 6.73658018422697
2460075.3888962306 45244.35102345109 1879511.1963028975 356033.1851441711 297554.7206215212 181515.51354338345 40218.176599942424 34050.577728029035 19951.121831940327 14599.73315229213 15249.735165832477 9779.295544860419 8999.771019873602 7407.414764331901 12896.235371439834 4333.957215601287 4158.220520192059 21489.642552695994 4641.920798657666 6048.677245895422 2546.3733321158506 2906.053718632553 2650.2851073399797 3114.664654670967 1710.381315713399 1045.234865728693 1984.8759816140227 1411.3641586561716 12458.609700987538 361.87573044565215 224.2242381274118 1519.3409303555964 7500.64273158455 261.58089762044256 299.28566946840147 346.911509574551 525.1623663786595 298.2431525193533 5.065902016315821 1.012 9.909835574229561 -4.860059312957314 6.940257178437324
2460075.3896002662 39101.033426881855 1641169.8073971802 314966.1396513034 259441.99039791158 155847.4955978119 35401.74001147052 28978.45972347539 17791.276173499107 13311.12799727889 12920.392290164033 8322.79655493144 7049.559353793098 6833.794335256811 11476.382423380346 4126.405869928072 3484.289940721923 16038.158850236301 4327.352759073954 6062.08900535843 2197.136429730919 2727.9642472364794 1760.3532839858526 2854.5086105037044 2553.058673390784 654.1414601898723 1620.1418118085567 1871.9660292579501 7389.696783232648 145.82284098870878 1104.7507248034235 1393.720270774531 5461.436540768642 646.4634236790007 565.2180531084887 36.981518480039085 -119.64980777840537 653.523835906497 5.048257848329921 1.012 8.532803820667652 -4.957785211975808 7.005363598988836
2460075.3903041305 45840.405338789584 1897101.1853236265 358135.74432870554 298789.78520353587 183613.78352276984 40643.41282357657 33865.421921881876 19818.06157759833 14796.16262954667 14804.730837324649 10159.740387784259 8784.941086087696 8026.782810226956 12910.100280095328 4932.025466186082 3719.2729779279616 21469.416887546977 5047.126481953164 6456.248660393248 2257.4053040270956 3474.7583709213213 2555.5201975468226 3115.6768733464123 2292.0846728472825 1940.0316488208919 1737.9908894053806 1789.5218518571492 17973.791573367722 755.5256347836403 1318.0856624454464 543.6752844529692 7106.727604690226 37.14253176926286 227.99427405487222 363.5958738599875 347.17897859797813 544.132692290339 5.04403463000068 1.011 4.473232353267737 -4.954877104061524 6.87410977586683
2460075.391008035 46739.5434266331 1941729.4406490652 368113.023255029 306035.65003950545 187936.17953589652 42150.059132915994 34423.008090206626 20569.590888800987 15559.386091149005 15676.353786846958 10652.5260619467 8725.1979073548 8770.348858033118 13670.395558508855 4484.482307258644 4770.742463248505 25265.03412845156 4927.997185822009 6764.157144909521 2457.3486241018836 2880.4534954530536 2842.065270738036 2955.105030010993 2965.334523013298 1898.5955202484183 2499.1891335089167 1811.4786477579328 16178.899946236095 623.5093864076771 944.0476075576444 1461.8581020823185 7298.91291877917 323.78199492300337 733.7865679958632 510.3094800172112 630.730574126952 912.7458374639828 5.037168626211611 1.011 12.283201265148781 -4.411581217176537 6.861884490565392
2460075.391711965 39604.13262172889 1664495.3210220055 318295.97630343906 263544.99990379234 158193.98597229202 35154.18626970296 29537.96460083341 17673.819131253083 13183.360107525878 12733.516339502457 9096.60640830126 7779.1340261306905 7893.188990672672 12010.158350969781 4823.87169213171 3838.082523392033 22123.614995700424 4573.465600356227 5850.069299075374 1991.7810359381256 2600.6563029485696 1468.217978339031 2841.146644618275 1320.5091350960574 915.3277302354545 1219.3552136643993 1618.5466828785138 25484.174309132228 623.3824463141937 1358.0519738434523 785.7687047761574 5761.290690704656 942.4310469532356 722.8567635507061 87.03950441328925 -68.18826942784654 892.2880939845345 5.042790376624516 1.011 8.800703130513929 -4.3228179525449475 7.057505937867648
2460075.392415784 47902.61016396039 1983221.830812236 375685.36168345594 312614.37675104366 192083.21051255745 42540.09850199257 36081.36565045388 20123.48290733593 15981.09396162664 15866.125231821425 11249.606133492853 9240.487514699707 8833.718434596405 14111.024319604665 4936.998510486796 5249.505674437751 25748.3462010667 5863.035069184392 6676.260705020861 2461.453477653544 3842.8239180189266 5083.771518672293 3342.697656229342 2609.531296388348 1963.3446407706506 2455.7719999526744 1944.512062635913 13916.67282323318 1244.6035388478485 898.5703997380333 1770.6551516281907 6159.590334976776 1019.0866433251795 314.592805609107 158.95490236116166 886.6028008498251 152.3114744103077 4.977917111447974 1.011 7.9306939083707375 -5.064845368896253 6.752886126285044
2460075.3931196346 48827.885789415726 2002377.2704758076 380276.65176114434 315052.7768854936 193517.72070590197 43578.752017951236 35956.65904367037 19623.833741591458 15886.914397128538 16031.952261985061 11546.72648635773 8656.251590598142 8576.511612833507 13389.955467607811 5222.270804604297 3571.2766005670273 24721.134972914428 5249.901042007317 6652.750399960132 2533.7738486446324 3148.321116658757 2363.6185155611165 3313.907860385356 3107.8901034760493 1375.5177559743606 1634.1367582999374 2335.8078754876915 9959.714582855057 809.4668269763642 1222.2661894672055 1094.4734921391064 7523.555124367616 263.42047861342144 738.5996842705936 -38.408759016907425 360.6664048930397 919.3295982206328 4.941018254018539 1.01 9.474590633326613 -4.952574820918481 6.701174334588625
2460075.3938235776 46943.878541518265 1964577.3756828278 372565.89622591814 310476.85516635585 189329.30390430713 42005.321980530745 35520.46467649173 20130.413839368455 15596.379322196823 15281.114330930068 10938.67622825611 8662.027247142541 9042.093734288166 13330.080599534675 4897.953904111462 4683.5899515287165 24763.431683348826 5014.216844333874 6338.9335038131685 2699.9480431810953 3007.84168145938 3128.886239385829 3327.2591970562935 2363.8527204204584 1639.5964233400155 2530.4382163232367 1368.8968008862576 13648.305927237481 1373.9662187459617 1403.9841074864235 1650.7213085632102 7651.305709898064 242.9478551705979 1176.3419050923549 935.6556567226507 1278.0707884810981 361.7114431325317 4.971768021188127 1.01 5.341366161377351 -4.728261990494407 6.747274750559093
2460075.394527514 48994.632550253664 1991086.0502992219 420420.1575654745 313614.0749472259 192850.61203260528 43156.904942596506 36076.270421844994 20545.891576679613 15768.953906583687 15544.640994415444 10635.343919065708 8498.941503464404 8096.640933125818 13952.676369336768 5198.465485003311 3635.686448611392 24495.772925448327 5404.750828592951 6682.004187715385 2643.9011347741616 3170.5041452262085 2756.388855048004 3418.6489810725907 2127.4531617159955 2656.0902882557566 2126.6556174884754 2607.6578487432707 10697.919630405158 53.928413882575114 785.9802679209533 1134.7765864566318 6924.76403612073 297.04264010692714 1026.525629531694 464.48725692120206 462.9311414616677 666.2113521286665 4.993789148543466 1.01 11.679133933941557 -4.3017171400799254 6.794142698038819
2460075.3952316684 47896.866138903046 1989350.8133919905 375816.406477027 313517.15480764664 192317.28837524168 42451.83906360975 35333.37893461005 19920.302322201358 16148.73696359135 15715.024931941298 10513.590750044328 9177.545176074898 8184.84183465672 13917.500729116597 5054.690325026066 3707.483225824384 26436.825107351833 5212.399218478095 6806.308606933788 3124.230999654479 3132.618133157055 2347.8036158357427 3469.5917970298615 2716.029104789035 1152.0544069308526 1911.7848008228757 1973.652058058069 8565.347136450364 619.6651496805862 1440.0478671495948 1179.3827727697353 6940.605192449671 265.99699794840126 1504.3691199476016 191.71678448838065 535.1612374562683 -214.4584650694742 4.977240215956839 1.01 9.102181623729289 -4.45421224036059 6.640175734914416
2460075.395935382 48160.51698240424 1993991.5509716833 376672.0322712568 314373.5144041799 192181.8079529839 42981.83087949366 36013.876158989675 20562.584889570004 16460.948059649527 15777.841880674416 10877.329339409422 8362.62720154856 8164.032030219678 14673.228153053424 4905.694991309792 4856.501106505064 26156.889839405325 5461.4214277586725 6711.728518400676 3328.612508588689 3140.5836913976964 2965.221417023655 3128.6112207272818 2811.050867163547 1750.5133659408748 2090.009079145937 2134.3479085969593 8651.5245272756 665.3883316081046 1412.0308837251068 797.8528805665119 7821.188684371009 1594.0773075344187 711.052798331526 -132.33605489713955 1049.722769648739 184.87618017081695 4.975694831754939 1.009 3.866751673689862 -4.264967363959869 6.618573711612529
2460075.396639464 48307.04177847208 2009482.1290611974 380170.4401222081 316419.5011538627 194974.694582758 42723.386420172144 35561.14490121092 21216.57291962349 16401.198979125576 15943.15395461941 11015.127716967094 9669.56185563693 7632.407594403179 15171.757416760418 6132.567947356758 4818.297054371913 25587.68199826758 5215.944215741154 7401.28096688354 2255.1226265563746 2977.5875423198595 2263.888397478411 3713.3341673689574 2992.252925623703 2332.757031228495 2866.0663370375405 1874.2408001612348 9277.799984315337 -49.08508008001081 2074.0967159018037 823.0138786241296 8065.850811366647 877.6334561783151 2038.0782921563368 -96.58398050336109 765.5334490260575 1346.2048408867558 4.947707037154141 1.009 9.126807254374171 -4.4890272067613735 6.508395219316001
2460075.3973433604 48475.83723192761 1989404.9462997385 376235.53507369105 313114.8009321688 192871.20370407877 42740.14739073379 35306.08145047835 19460.18890329062 15909.14327852623 16004.64803720251 11118.512971235119 8961.472756772098 8036.176511636077 14155.6132202882 5194.227318789766 4293.012123061591 25442.720913127792 5138.31115169164 7268.4827585996245 3190.8552358557936 3418.4334907852317 2502.0009173779254 3482.9035592818836 2579.9697679313103 1505.0206614462368 2758.6338032951608 2142.3895045210957 10132.087944401763 326.9858685961808 1041.785528916167 387.46476793418697 7465.582107812588 318.9011540063948 1299.7349665430083 1060.1540611443488 628.893262603 406.3130676872679 4.958860252747065 1.009 8.722913248274315 -4.241296422039558 6.650476035597997
2460075.398047291 48537.09455935494 1990229.112231021 377005.2318811353 314060.6860542784 192954.7901383553 43305.59611918799 35638.15431005106 19882.779607381817 16148.708908280489 15576.611717479871 10616.917352089426 9223.728207700726 8268.493791311223 14142.301573487886 5713.620273844193 3811.438551576648 27047.72856853831 4985.714116435047 6494.28304846074 2491.4338067965 3989.0075355450826 2527.8888902497856 3491.9434334855614 2262.113397858033 2416.741149669164 2741.659693114765 1783.3111188167095 8652.719738060201 717.6292504047015 1636.1722534409055 1373.4065856054222 8137.872162163403 321.9063631228346 1064.286301031214 238.58451188961044 347.7508763852675 404.9357837377029 4.962259624597297 1.009 8.243079740723857 -3.425558749088367 6.555024051189627
2460075.39875111 47576.55451607656 1989910.5125127651 377174.0426670419 313050.15087692253 192782.41135519318 42463.294739025645 35149.61217740463 19804.550407412506 16291.890770510116 15709.264247648796 11172.091673088304 8693.379907329945 8627.60938794467 13859.580228735504 5087.816756855274 3833.0726079050655 26793.430306044218 5625.485726484549 6785.548097644423 2837.894824766976 3694.616485296254 2446.2193956260016 3138.883383828783 3057.0500119920616 1375.2440227465995 2163.836265769947 1123.483182732336 10477.899481927394 1154.8478798914002 1394.0731541476853 1379.8507132500963 7681.66317965179 -60.38523603857902 217.26136093991227 312.4343091599876 9.782170642269193 1081.4659968650376 4.95451666376965 1.009 7.52362508988935 -4.8479203700092155 6.5940715505798595
2460075.3994549466 48393.68992140739 1994987.9486339611 376851.4026303238 313620.46843983536 193948.01387887506 42885.35287375863 35463.64529483726 20279.38000623758 16381.678669204222 16175.669556289446 10786.418754547034 9223.623527126241 8312.875053711556 14035.35839500869 5012.948664698357 4496.59014950259 25991.257614196846 5606.967405483345 6548.8771456328395 2493.846776041304 3381.204526010464 3154.5260717152123 3782.905509838398 2379.165670417773 2484.974830147272 1752.3121739577764 1669.0972848839156 11848.740665741396 404.3301133442437 1259.5967845101404 1281.459919388857 7626.85348573541 -31.551909520610934 121.08184670103947 400.95027941702574 628.9753844008374 631.5085549432551 4.947923022684244 1.009 6.769362867976146 -4.409884423690063 6.582439206000688
2460075.400158873 48531.61715275601 2003312.8279864858 379580.2620966727 315419.71613243123 194249.11073761247 43645.90220317275 36072.59263029849 20280.511595716773 16952.413018871317 15872.071336831577 10140.146262920971 9639.525157094657 8799.844536962104 14267.380981650786 4986.59399554407 4463.607221279206 27378.42934581991 4568.4736784230045 7709.731438765157 2213.0458921615937 3479.833360695615 3065.2232924931304 2402.9716920220526 2269.022660651637 1869.4650954739045 2147.8138652168273 2006.0118283206248 11239.10871215703 898.3127623324981 1398.6783404521557 1820.137503090882 8172.364723582112 648.5966477390612 1294.403374151996 -529.135429407921 -277.95562562684063 72.60986709293502 4.9469658364152895 1.009 9.095636586797184 -4.100936529436647 6.636179529579491
2460075.4008627725 48822.156505202016 2004474.049777314 378973.8241518042 315783.431576645 194404.94822210574 43031.52589973448 35474.953594839084 19721.428310283954 16346.059888849137 15793.038223952666 10553.049440699775 8946.431337371978 8605.793130667284 14403.096391094936 4875.376553286973 4326.148592846497 26666.169786358514 5255.6935840071965 6188.148704034349 2330.2051438942 3532.499050520637 2377.7834300424292 3814.347413368523 3387.023334322468 1601.152213603913 2114.0686925004557 1977.7566590980568 12119.973528345494 780.1000102309627 1621.7721772056684 674.700714394523 7727.260976739883 76.95540719892597 1236.6729386187944 -319.50042665678484 78.83138676013914 469.76105662994087 4.918316994791518 1.009 9.519445805838748 -4.216133327946939 6.517946360631814
2460075.401566805 49061.24410786135 2002342.9165513576 378222.57393395604 315412.5726242974 193912.8618726958 41987.94801267276 35589.71685599783 20788.598504123816 16797.033192728675 16006.726435151708 10989.905415959089 8642.265959981072 8854.281366404131 14826.16958874432 5247.348630035238 4278.842892694156 26696.97114443792 5566.213656343665 7060.382555062126 2190.8293037697586 3255.1671421179344 2578.4882970874896 3216.502223328469 2426.961269249994 1383.4950330104475 2482.912798991427 2090.4222061281907 10119.050887241538 391.21922024016385 1715.6681529183115 1699.0422755115287 7839.151888896653 1094.824264975483 754.8141593122127 -385.7404051314952 610.774602030855 817.4832388655923 4.893493863391862 1.009 5.410033702998855 -3.622746424015503 6.611095246847506
2460075.4022706733 48237.9218170744 2005885.3250425095 379562.9696099562 317552.36495030636 194084.56962894305 42629.2324068622 36207.94707313483 20588.602558760234 16035.455580942871 15903.730398087238 10826.24799780568 8901.59173567577 8462.540068232352 14707.5910391434 4995.555038076156 4798.091941258972 26726.03784195034 5830.107148239214 6630.518646612429 2482.5836936164997 3319.9508799743635 2249.666576241434 3103.9313251690764 2714.7697939026257 1852.842762579574 1586.8611397158966 1197.4664629697509 8883.154964111454 1109.8159460893949 2087.381000580557 1077.913735345035 7708.268342487281 616.6776032135094 1057.2677647030214 626.5876977472799 370.54567360498186 408.7030863046093 4.897001766120491 1.009 6.184647356971918 -3.84148242983837 6.489801702809133
2460075.402974538 48272.69981492116 1975527.5482217825 373581.09627308475 310847.736008017 191051.15703152068 41745.789747058734 34476.3209247629 20501.439228675474 16627.57957132347 15824.058539168298 10970.641985295864 8782.088195616641 8963.90432214814 14479.968609247066 5212.248726684935 4830.587126379483 25581.87967420355 5705.151273346011 7456.300393775455 2281.247834169015 3079.5383295246575 3280.0460889710084 2726.5048344934185 2545.5189968703635 1222.7877093836578 2284.384486424693 1690.8303508183308 12354.480311172636 9.709100287233014 2127.5361829092726 814.9151976690919 7970.172372477071 1151.1041102662712 614.2609451887693 572.3394129648805 1069.2141602851625 1000.0657632760413 4.975461843034881 1.009 7.756262880764335 -4.63643208552701 6.619466381798209
2460075.4036785127 47552.22170471844 1951596.3378524408 368792.24659319903 307253.73143154813 188406.17850680128 42723.83140231071 35210.20890681565 19296.71027510459 16166.045585192027 15654.116388267386 10249.948957596353 8675.446594393114 8584.703523761113 13547.172367675405 5592.884828441223 4031.531832131921 27692.900941150438 5711.330475603696 6895.349485900646 2762.92676634503 2866.8075949780323 2569.8270330298838 3330.8546210495842 2801.7240011253452 1612.32001468433 2309.8821311888314 2020.1383582403796 13562.000158341412 1111.5467513497133 1455.4930345764296 783.6811164841201 7977.322041400257 -368.59835782153823 1579.1304269588 829.2473744399322 -413.96282081915706 369.78696838424366 5.009500716292232 1.009 6.912076748828042 -4.356249751911586 6.632497583573012
