BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.754217,1.00969,0.00732,1.0514,-0.49,-1.57,6.46,3192
2459761.754623,1.01524,0.00718,1.0516,0.21,-0.88,7.51,2919
2459761.755041,1.01319,0.00734,1.0517,-0.70,-1.13,7.19,2799
2459761.755447,1.01212,0.00701,1.0518,-1.36,-1.41,6.81,3133
2459761.755853,1.01122,0.00688,1.0519,-0.47,0.29,7.08,3077
2459761.756270,1.01305,0.00659,1.0520,0.59,-1.52,5.69,4103
2459761.756676,1.00457,0.00667,1.0522,-0.75,-1.05,6.69,3705
2459761.757082,1.00239,0.00651,1.0523,-1.44,-1.32,6.60,3461
2459761.757500,1.01229,0.00660,1.0525,0.31,0.43,6.85,3032
2459761.757905,1.00581,0.00676,1.0526,-0.52,-2.37,8.13,2428
2459761.758323,1.01234,0.00662,1.0528,-1.36,-1.15,7.35,2895
2459761.758728,1.01218,0.00677,1.0530,0.32,-0.86,7.67,2641
2459761.759156,1.00034,0.00647,1.0531,-0.31,-2.66,7.07,2898
2459761.759562,1.00181,0.00817,1.0533,-0.76,-1.69,13.12,1497
2459761.759979,1.00371,0.00661,1.0535,0.09,-0.75,7.25,2678
2459761.760385,0.99375,0.00629,1.0537,0.33,-1.32,6.44,3521
2459761.760791,1.00719,0.00665,1.0539,0.31,0.50,7.20,2639
2459761.761208,0.99392,0.00623,1.0541,0.63,-0.70,6.49,3183
2459761.761614,1.01346,0.00608,1.0543,-1.63,-0.95,6.96,3390
2459761.762031,1.00926,0.00600,1.0545,-0.78,-2.12,6.21,3795
2459761.762437,1.00961,0.00635,1.0547,-2.04,-0.77,6.96,3103
2459761.762854,1.01278,0.00666,1.0549,-1.25,-2.00,8.74,2290
2459761.763260,0.99828,0.00669,1.0551,-0.70,-1.45,7.82,2410
2459761.763665,1.00126,0.00641,1.0554,-0.23,1.22,7.44,2904
2459761.764082,1.00974,0.00677,1.0556,0.92,1.17,7.73,2339
2459761.764488,1.00694,0.00644,1.0558,-0.72,-0.41,6.93,2915
2459761.764905,1.01093,0.00656,1.0561,0.31,0.08,7.67,2524
2459761.765311,0.99563,0.00668,1.0563,-1.18,0.02,7.51,2622
2459761.765740,1.01540,0.00658,1.0566,-0.93,0.35,6.95,2965
2459761.766146,1.00394,0.00630,1.0569,0.20,0.47,6.84,3027
2459761.766563,1.00401,0.00643,1.0571,-0.57,0.62,6.52,3278
2459761.766969,1.00626,0.00646,1.0574,-0.04,-1.81,6.47,2978
2459761.767374,1.01229,0.00669,1.0577,-0.92,0.84,7.42,2470
2459761.767792,1.00166,0.00643,1.0580,-0.80,-1.59,7.18,2932
2459761.768197,1.00481,0.00648,1.0583,-0.28,-0.14,7.97,2720
2459761.768615,0.99523,0.00664,1.0586,0.21,-0.32,7.85,2362
2459761.769020,1.02064,0.00655,1.0589,-0.17,0.02,7.23,2745
2459761.769426,1.02076,0.00659,1.0592,-0.22,-0.28,7.49,2621
2459761.769844,1.00241,0.00683,1.0595,-1.16,-1.62,8.05,2174
2459761.770250,1.00401,0.00643,1.0598,0.15,-0.23,6.97,3158
2459761.770656,1.00518,0.00634,1.0601,0.15,1.89,6.06,3688
2459761.771074,1.00016,0.00647,1.0605,1.13,3.12,6.76,3213
2459761.771480,0.99234,0.00670,1.0608,1.44,0.72,6.69,2952
2459761.771886,1.01513,0.00641,1.0611,-0.62,0.40,5.96,3851
2459761.772303,1.00785,0.00656,1.0615,0.08,0.99,7.09,3075
2459761.772710,1.01523,0.00670,1.0618,0.64,-0.39,6.25,3193
2459761.773116,1.00444,0.00690,1.0622,0.24,-0.85,6.07,3190
2459761.773533,1.00347,0.00676,1.0626,-0.77,-1.38,6.42,3135
2459761.773939,1.00448,0.00734,1.0629,-0.50,-0.82,7.67,2371
2459761.774762,1.00600,0.00742,1.0637,-0.00,0.51,8.21,2792
2459761.775168,1.01761,0.00754,1.0641,-0.10,-0.91,7.18,2694
2459761.777245,1.00864,0.00742,1.0661,0.29,-0.43,7.19,2583
2459761.780180,1.00370,0.00736,1.0693,-0.41,-0.93,7.68,2289
2459761.780586,1.00754,0.00682,1.0697,-0.26,-1.15,7.44,2610
2459761.781004,1.00344,0.00615,1.0702,-0.95,-1.12,6.38,4133
2459761.781410,1.00407,0.00595,1.0707,3.28,2.39,5.70,4477
2459761.781828,1.00294,0.00624,1.0712,0.46,-1.02,6.57,3336
2459761.782234,0.99805,0.00616,1.0716,0.13,-0.08,6.65,3736
2459761.782640,1.00710,0.00610,1.0721,0.56,1.00,6.40,3642
2459761.783057,1.01325,0.00620,1.0726,0.30,-0.68,6.82,3217
2459761.783463,1.00534,0.00598,1.0731,0.10,-2.21,6.31,3929
2459761.783869,1.00595,0.00612,1.0736,-0.18,-0.77,7.08,3379
2459761.784287,1.01106,0.00614,1.0742,0.06,-0.90,6.45,3555
2459761.784693,0.99913,0.00593,1.0747,-0.12,0.46,6.47,3918
2459761.785111,1.01028,0.00595,1.0752,-2.47,-2.27,6.86,4008
2459761.785529,1.00836,0.00608,1.0758,-0.00,0.59,7.11,3488
2459761.785934,1.00617,0.00613,1.0763,2.00,1.84,7.14,3456
2459761.786352,1.01412,0.00576,1.0769,0.56,0.84,5.80,4393
2459761.786757,1.00277,0.00562,1.0774,1.20,0.44,6.51,4590
2459761.787163,1.01084,0.00571,1.0780,1.18,-0.07,6.25,4348
2459761.787580,1.00653,0.00564,1.0785,-0.68,-1.42,5.82,4295
2459761.787998,1.00472,0.00602,1.0791,-1.85,-2.00,7.53,3148
2459761.788415,1.00207,0.00558,1.0797,0.81,-0.91,6.76,4079
2459761.788821,1.00935,0.00561,1.0803,-0.61,-1.85,6.26,4369
2459761.789237,1.00085,0.00572,1.0809,-1.64,-0.65,7.02,3726
2459761.789643,1.01483,0.00570,1.0815,0.88,1.74,6.57,3748
2459761.790060,1.00483,0.00570,1.0821,0.97,1.06,6.44,3950
2459761.790466,1.00358,0.00563,1.0827,-0.34,-0.07,7.33,4095
2459761.790871,1.00260,0.00566,1.0833,1.11,0.54,6.85,3664
2459761.791289,1.00446,0.00568,1.0839,0.62,0.10,6.39,3784
2459761.791694,1.00798,0.00573,1.0845,-1.62,-2.41,7.96,3404
2459761.792100,1.00786,0.00552,1.0852,-1.32,-0.66,6.45,4204
2459761.792517,0.99849,0.00569,1.0858,-0.44,-0.68,7.19,3734
2459761.792923,1.00485,0.00578,1.0864,-0.99,0.77,7.30,3344
2459761.793387,1.00803,0.00580,1.0872,0.61,0.74,6.97,3473
2459761.793792,1.01144,0.00564,1.0878,0.28,2.40,6.73,4306
2459761.794209,1.01539,0.00576,1.0885,1.52,0.18,7.48,3440
2459761.794615,1.00368,0.00569,1.0892,1.03,0.94,6.51,3794
2459761.795032,1.00919,0.00584,1.0899,1.39,0.27,6.61,3472
2459761.795438,1.01592,0.00585,1.0905,-1.98,-1.95,7.16,3244
2459761.795844,0.99995,0.00571,1.0912,-0.34,-1.27,6.96,3487
2459761.796261,1.00254,0.00593,1.0919,-0.33,-1.09,7.82,3114
2459761.796667,1.00625,0.00557,1.0926,-0.60,0.00,5.78,4603
2459761.797084,1.00652,0.00574,1.0933,-0.50,0.41,6.52,3599
2459761.797490,1.00265,0.00569,1.0941,3.33,1.52,7.09,3770
2459761.797895,0.99701,0.00581,1.0948,5.26,-1.44,7.64,3504
2459761.798313,1.00312,0.00558,1.0955,0.71,1.11,5.60,5007
2459761.798719,0.99273,0.00585,1.0962,0.27,0.31,5.97,4225
2459761.799125,0.98835,0.00584,1.0970,-1.71,-1.93,6.75,3816
2459761.799543,0.98933,0.00594,1.0977,-0.23,-0.41,7.03,3739
2459761.799949,0.99752,0.00594,1.0985,-0.37,0.35,6.19,4121
2459761.800355,0.99249,0.00582,1.0993,0.37,0.07,5.72,4806
2459761.800773,0.99308,0.00586,1.1000,1.12,0.52,6.31,3836
2459761.801179,0.98903,0.00610,1.1008,0.75,2.72,6.25,3757
2459761.801585,0.97764,0.00630,1.1016,-0.10,-0.29,7.55,2730
2459761.802002,0.98394,0.00601,1.1024,0.41,0.48,6.53,3480
2459761.802409,0.98086,0.00612,1.1032,-1.18,-1.25,6.81,3188
2459761.802815,0.98018,0.00591,1.1039,-0.96,-0.43,6.74,4078
2459761.803232,0.98203,0.00593,1.1048,0.73,-1.03,6.38,3641
2459761.803638,0.97475,0.00609,1.1056,-2.15,-0.45,7.27,3132
2459761.804044,0.96729,0.00585,1.1064,-0.93,0.98,6.57,3714
2459761.804461,0.97337,0.00591,1.1072,2.43,0.92,6.29,3846
2459761.804867,0.97630,0.00622,1.1081,1.19,0.50,6.87,3359
2459761.805273,0.96828,0.00619,1.1089,1.13,0.75,6.65,3676
2459761.805691,0.96129,0.00645,1.1098,-0.83,0.73,6.80,3047
2459761.806097,0.95469,0.00673,1.1106,0.14,-2.37,7.28,2674
2459761.806514,0.95093,0.00655,1.1115,-0.73,-0.62,7.45,2507
2459761.806920,0.94933,0.00612,1.1123,-1.57,0.93,7.78,2926
2459761.807326,0.95564,0.00617,1.1132,-1.70,-0.61,8.23,2813
2459761.807743,0.93285,0.00615,1.1141,1.64,2.06,8.34,2501
2459761.808149,0.94375,0.00612,1.1150,2.42,2.15,7.62,2591
2459761.808554,0.94205,0.00611,1.1159,1.07,0.41,7.89,2823
2459761.808972,0.94300,0.00609,1.1168,-0.36,0.83,7.60,2891
2459761.809377,0.93833,0.00605,1.1177,-1.52,-1.38,6.63,3037
2459761.809806,0.94212,0.00621,1.1187,0.91,0.05,7.49,2651
2459761.810212,0.94303,0.00587,1.1196,-0.42,-0.09,6.02,4295
2459761.810618,0.92981,0.00605,1.1205,-1.75,-0.89,7.73,3112
2459761.811035,0.92572,0.00583,1.1215,2.75,0.31,7.81,3244
2459761.811441,0.92683,0.00573,1.1224,0.66,0.91,6.97,3892
2459761.811858,0.93010,0.00600,1.1234,-0.83,-0.14,7.20,3464
2459761.812264,0.92918,0.00592,1.1243,1.21,-0.28,7.01,3970
2459761.812669,0.93942,0.00613,1.1253,-0.93,-1.21,6.77,3174
2459761.813087,0.92809,0.00637,1.1263,-0.34,0.63,7.77,2947
2459761.813492,0.93947,0.00611,1.1273,-0.87,0.01,6.49,3742
2459761.813909,0.92021,0.00617,1.1283,-1.21,-0.80,8.25,2699
2459761.814315,0.92625,0.00613,1.1293,3.44,2.54,7.17,3543
