BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.754341,0.99488,0.00747,1.0515,-0.01,-0.72,6.33,3826
2459761.754977,1.00041,0.00740,1.0517,0.16,-2.90,6.62,3641
2459761.755619,1.00907,0.00718,1.0518,0.07,-0.77,7.68,3524
2459761.756262,1.01853,0.00679,1.0520,0.37,-1.61,5.90,5136
2459761.756905,1.01052,0.00679,1.0523,0.46,-1.67,6.58,4257
2459761.757542,0.99927,0.00683,1.0525,0.92,-1.67,7.42,3348
2459761.758207,1.01158,0.00680,1.0528,-0.20,-1.96,7.75,3371
2459761.758843,1.00514,0.00691,1.0530,0.68,-2.28,7.99,3179
2459761.759521,1.01480,0.00759,1.0533,-0.19,-2.83,8.89,2411
2459761.760157,0.99830,0.00659,1.0536,0.60,-1.57,6.69,3789
2459761.760807,1.00220,0.00673,1.0539,0.30,-1.23,7.52,3308
2459761.761442,1.01852,0.00644,1.0542,-0.31,-1.85,7.05,3991
2459761.762086,1.01014,0.00624,1.0545,-0.27,-2.16,6.47,4286
2459761.762728,1.01407,0.00683,1.0548,-0.53,-2.07,8.46,2893
2459761.763371,1.00474,0.00683,1.0552,-0.15,-0.80,8.06,2964
2459761.764006,1.00183,0.00679,1.0556,1.63,0.66,7.75,3070
2459761.764649,1.01333,0.00670,1.0559,0.43,-0.55,6.87,3335
2459761.765291,1.00165,0.00691,1.0563,-0.68,-0.66,8.16,3317
2459761.765926,1.00614,0.00657,1.0567,0.07,0.57,7.01,3758
2459761.766569,1.00922,0.00651,1.0571,0.42,-0.76,6.72,3958
2459761.767211,0.99647,0.00688,1.0576,-0.35,-2.17,7.53,2921
2459761.767853,1.01531,0.00681,1.0580,0.65,-2.02,7.69,3161
2459761.768496,1.01421,0.00687,1.0585,0.60,-0.81,8.55,2943
2459761.769131,0.99846,0.00675,1.0590,-0.36,-0.51,7.58,3330
2459761.769773,1.01195,0.00696,1.0594,-0.48,-2.66,8.71,2756
2459761.770415,1.00992,0.00665,1.0599,0.06,-0.51,6.91,3913
2459761.771057,0.99490,0.00664,1.0604,0.88,2.30,6.49,4075
2459761.771699,0.99941,0.00660,1.0610,0.68,-0.41,6.34,4323
2459761.772335,1.00373,0.00671,1.0615,0.84,-0.18,7.29,3679
