BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.754341,1.00431,0.00511,1.0515,1.13,-0.73,12.33,6870
2459761.754955,1.00643,0.00501,1.0516,0.00,-2.13,12.21,6505
2459761.755569,1.02147,0.00487,1.0518,-0.68,-0.94,12.57,6585
2459761.756190,1.00337,0.00465,1.0520,0.27,-2.29,12.28,8756
2459761.756804,1.00387,0.00449,1.0522,0.28,-0.35,6.65,8537
2459761.757419,1.00416,0.00454,1.0525,0.35,0.36,12.48,6675
2459761.758041,1.01203,0.00453,1.0527,-0.47,-2.31,13.71,5968
2459761.758655,1.00257,0.00463,1.0529,-0.13,-0.78,13.55,5261
2459761.759275,1.01526,0.00466,1.0532,1.10,-4.20,13.63,5949
2459761.760503,1.00671,0.00431,1.0537,0.01,-0.12,6.40,7358
2459761.761153,1.00485,0.00436,1.0540,0.47,-1.72,12.37,6691
2459761.761774,1.00376,0.00415,1.0543,-0.19,-0.56,6.38,7550
2459761.762389,1.01077,0.00424,1.0547,-0.46,-1.21,12.25,7370
2459761.763024,1.01568,0.00451,1.0550,-0.91,-1.56,13.65,5081
2459761.763638,1.01133,0.00444,1.0553,1.44,1.33,13.54,5737
2459761.764251,1.01033,0.00460,1.0557,0.39,0.36,13.32,5231
2459761.764872,1.00828,0.00450,1.0561,-0.46,0.62,12.49,6003
2459761.765515,1.01123,0.00456,1.0565,-0.26,-0.03,12.60,6281
2459761.766128,1.00000,0.00430,1.0569,0.18,1.74,6.62,6934
2459761.766742,1.00488,0.00440,1.0573,-0.79,0.33,11.98,7227
2459761.767362,1.00570,0.00456,1.0577,-0.85,-1.85,13.20,5359
2459761.767983,1.00760,0.00449,1.0581,-0.79,-0.80,13.27,6174
2459761.768597,1.00754,0.00453,1.0586,0.76,-0.50,12.59,5437
2459761.769217,1.00325,0.00452,1.0590,2.78,3.07,12.66,6234
2459761.769838,1.00461,0.00451,1.0595,-0.93,-1.04,13.66,5485
2459761.770451,1.00843,0.00451,1.0600,1.01,0.22,11.44,6847
2459761.771064,1.01130,0.00449,1.0604,0.32,2.91,6.32,7622
2459761.771684,1.00238,0.00457,1.0610,2.21,-2.12,11.81,7711
2459761.772299,1.00555,0.00458,1.0615,0.82,-0.79,12.50,6569
2459761.772920,1.00267,0.00475,1.0620,-1.07,-0.56,11.38,6726
2459761.773533,0.99707,0.00482,1.0626,0.61,-1.68,12.71,6806
2459761.780324,1.00011,0.00485,1.0694,1.20,-0.35,12.60,4826
2459761.780944,1.00201,0.00432,1.0701,-0.83,-1.31,11.88,7818
2459761.781556,1.00522,0.00421,1.0708,2.36,1.72,6.64,7643
2459761.782176,1.00369,0.00425,1.0716,0.46,-0.61,11.55,8188
